name,group,year,value,subGroup,city_id,lastValue,lat,lon
Avengers,India,1500,200,India,Agra - India,200,27.18333,78.01667
Avengers,India,1501,212,India,Agra - India,200,27.18333,78.01667
Avengers,India,1501,224,India,Agra - India,212,27.18333,78.01667
Avengers,India,1503,236,India,Agra - India,224,27.18333,78.01667
Avengers,India,1504,248,India,Agra - India,236,27.18333,78.01667
Avengers,India,1580,260,India,Agra - India,248,27.18333,78.01667
Avengers,India,1581,272,India,Agra - India,260,27.18333,78.01667
Avengers,India,1582,284,India,Agra - India,272,27.18333,78.01667
Avengers,India,1583,296,India,Agra - India,284,27.18333,78.01667
Avengers,India,1584,308,India,Agra - India,296,27.18333,78.01667
Avengers,India,1585,320,India,Agra - India,308,27.18333,78.01667
Avengers,India,1586,332,India,Agra - India,320,27.18333,78.01667
Avengers,India,1587,344,India,Agra - India,332,27.18333,78.01667
Avengers,India,1588,356,India,Agra - India,344,27.18333,78.01667
Avengers,India,1589,368,India,Agra - India,356,27.18333,78.01667
Avengers,India,1590,380,India,Agra - India,368,27.18333,78.01667
Avengers,India,1591,392,India,Agra - India,380,27.18333,78.01667
Avengers,India,1592,404,India,Agra - India,392,27.18333,78.01667
